mjd,mag,magerr
51075.37935,21.067,0.036
51818.34905,21.143,0.039
52170.4,20.808,0.027
52173.3134,20.895,0.04
52196.3986,20.897,0.032
52207.36531,20.81,0.029
52224.29356,20.741,0.028
52231.27894,20.756,0.027
52234.25003,20.758,0.027
52261.21338,20.679,0.029
52282.14001,20.66,0.031
52287.09387,20.532,0.024
52552.41258,20.594,0.028
52557.38693,20.55,0.024
52908.3615,20.859,0.03
52912.34094,20.859,0.032
52934.2934,20.895,0.034
52936.28933,20.862,0.027
53270.35341,20.827,0.032
53272.40333,20.853,0.034
53286.37205,20.76,0.034
53288.33054,20.76,0.025
53294.37822,20.709,0.029
53296.32522,20.747,0.039
53298.37499,20.756,0.03
53302.32621,20.803,0.063
53312.28186,20.85,0.077
53314.28294,20.832,0.035
53319.27074,20.845,0.05
53616.3873,21.059,0.046
53628.34859,20.864,0.071
53637.35021,20.982,0.076
53639.39558,21.049,0.04
53641.39475,21.1,0.037
53657.35363,20.799,0.121
53663.33818,20.901,0.073
53666.40827,21.041,0.069
53668.32778,21.132,0.059
53669.4154,21.046,0.065
53670.33263,20.972,0.045
53673.30062,21.072,0.032
53675.29751,21.008,0.034
53677.31854,21.078,0.033
53680.30521,20.986,0.031
53686.30464,20.757,0.131
53698.30449,20.975,0.043
53704.29042,20.987,0.039
53989.38654,21.357,0.127
53995.42525,21.301,0.036
54000.36191,21.3,0.045
54007.41203,21.307,0.045
54009.33583,21.249,0.038
54011.40033,21.302,0.032
54025.39934,21.342,0.047
54029.3297,21.387,0.039
54348.39705,21.35,0.054
54358.3529,21.237,0.049
54365.38594,21.109,0.043
54384.41218,21.238,0.041
54386.39785,21.228,0.041
54388.40208,21.214,0.041
54392.39965,21.246,0.07
54403.316,20.92,0.091
54404.37343,21.077,0.072
54405.37139,21.229,0.061
54406.30974,21.206,0.039
54412.33548,21.23,0.041
