ime,wav,Int
a2D2,3720.174,0.102651351174556
a2D2,3779.576,0.378667664045415
a2D2,3798.597,0.191184311036592
a2D2,3833.013,0.0902481500356088
a2D2,3896.103,0.191237331784476
a2D2,4075.954,1.0
a2D2,4119.524,0.0293263035856232
a2D2,4124.787,0.15227352898307
a2D2,4177.692,0.428705891482186
a2D2,4183.2,0.0290465665641054
a2D2,4258.34,0.161488188822859
a4H,4278.159,0.448482722151923
a4H,4314.31,1.0
a4H,4332.881,0.0548887155976696
a4H,4338.703,0.233184897769528
a4H,4372.222,0.125264822132246
a4H,4384.319,0.974084134761932
a4H,4413.601,0.407355685993273
a4H,4825.736,0.0474555851034839
a4H,4833.197,0.0517690947254964
a4H,4839.998,0.0384166402968725
a6S,4593.827,0.0003510462870702
a6S,4601.378,0.0010977661470329
a6S,4656.981,0.0069019009832047
a6S,4663.708,0.0044585239993465
a6S,4731.453,0.0353700207911316
a6S,4923.927,0.809922333655896
b4F,4088.755,0.0013300587361097
b4F,4138.405,0.002996222805867
b4F,4472.929,0.0357588327715555
b4F,4489.183,0.108825242601506
b4F,4491.405,0.242491054727117
b4F,4508.288,0.365763429421355
b4F,4515.339,0.346680044314808
b4F,4520.224,0.23274790807381
b4F,4522.634,0.855812930361016
b4F,4534.168,0.0292210345545823
b4F,4541.524,0.0774746766282266
b4F,4549.474,1.0
b4F,4555.893,0.472833724560507
b4F,4576.34,0.13486926025162
b4F,4582.835,0.0696815154286671
b4F,4583.837,1.34362791003769
b4F,4595.682,0.0049027262151761
b4F,4620.521,0.0075797433892325
b4F,4629.339,0.457759501590011
b4F,4648.235,0.0012554443411884
b4F,4666.758,0.0548970352946927
b4F,4833.865,0.0009731014800126
b4F,4893.82,0.0032370102841647
b4F,4924.921,0.0015951970465923
b4F,4993.358,0.0304374074531359
b4P,3764.105,0.0520297231900193
b4P,3824.929,0.0236421444871517
b4P,3872.766,0.0257291734041015
b4P,3908.545,0.0008436785067931
b4P,3964.579,0.0058877048050056
b4P,3974.167,0.0167427788503345
b4P,4002.083,0.0168413023953368
b4P,4087.284,0.0020283602688536
b4P,4122.668,0.0319174589092672
b4P,4128.748,0.0167604072122739
b4P,4173.461,0.0044513178745424
b4P,4178.862,0.231089007655489
b4P,4233.172,1.0
b4P,4258.154,0.0185665148461173
b4P,4273.326,0.0281421257048653
b4P,4296.572,0.0661034182126903
b4P,4303.176,0.138187295021301
b4P,4351.769,0.0467706346367784
b4P,4369.411,0.013649676417308
b4P,4385.387,0.13663938095345
b4P,4386.585,0.0007401676151126
b4P,4416.83,0.130758981683634
b4P,4461.439,0.0050369122097517
b4P,4580.063,0.0123975742668973
b4P,4583.999,0.0034750041386597
b4P,4648.944,0.0026915014112626
b4P,4665.805,0.0006916615442264
b4P,4670.182,0.0056126450483951
b4P,4713.193,0.0006145860588333
b4P,4855.548,0.003077399800316
b4P,4871.277,0.0050136931606996
b4P,4991.126,0.0022641364243428
y4G,4418.957,0.374311972672879
y4G,4431.605,0.445020414826515
y4G,4440.766,0.0884543902895803
y4G,4449.616,0.679994134954603
y4G,4467.931,0.122808504353603
y4G,4477.242,0.0014305826295535
y4G,4493.529,1.0
y4G,4508.214,0.124675832104262
y4G,4527.016,0.0027187682486413
x4D,4559.554,0.152653830741127
x4D,4591.004,0.308047891080121
x4D,4605.37,0.316803281782939
x4D,4625.481,0.44577818321659
x4D,4628.786,1.0
x4D,4631.873,0.711548566015749
x4D,4652.216,0.351075113285649
x4D,4668.923,0.171154242844297
x4D,4670.334,0.300195095541032
