#Table1
plate,mjd,fiberid,[OIII]/Hbeta,Hbeta/Hgamma,[OIII]/Hgamma,h_beta_eqw,h_beta_flux,redshift,E(B-V)
355,51788,414,0.7112553,2.642485,1.879482,-10.94744,1590.3,0.09262062,0.04385718
494,51915,124,1.842156,2.127565,3.919306,-14.36981,1780.146,0.1842309,0.01408172
519,52283,280,1.031102,1.964605,2.025708,-10.43072,2368.552,0.2402315,0.02099199
2647,54495,378,1.305768,0.8033115,1.048939,-0.4854688,33.89186,0.0581607,0.01662156
304,51609,408,0.2246707,1.030365,0.2314928,-0.9988101,116.535,0.05209216,0.03632782
1443,53055,358,0.1243922,2.379898,0.2960408,-21.6249,4215.459,0.2248686,0.02253275
1833,54561,567,1.151556,1.169181,1.346378,-0.4272045,51.26057,0.05100999,0.04346284
2102,54115,521,1.375886,1.321995,1.818914,-0.3869972,44.48927,0.06168568,0.007514635
896,52592,462,0.8968338,1.155576,1.03636,-0.6654313,69.07693,0.05427433,0.02707811
1727,53859,568,0.2283979,2.313178,0.528325,-21.31766,5024.298,0.1188412,0.04138075
1744,53055,630,0.7668698,1.191549,0.9137629,-4.530081,1351.735,0.2407427,0.03843554
1864,53313,562,1.341136,3.80393,5.101589,-0.3301932,36.65266,0.05618459,0.08578774
1943,53386,466,0.798463,1.668067,1.33189,-5.208287,942.4144,0.1269882,0.01675888
2033,53476,512,0.3356205,2.088459,0.7009295,-16.67516,3167.782,0.2848447,0.01505516
394,51913,404,0.9464631,0.8310005,0.7865114,-0.4400058,41.07878,0.06544808,0.02441461
432,51884,246,0.8131903,2.092379,1.701502,-24.48447,4723.809,0.1179971,0.04918799
513,51989,110,0.5624879,1.607509,0.9042041,-8.170201,637.2264,0.1922005,0.02727352
1738,53051,419,0.2598948,2.243477,0.5830679,-21.42677,3135.877,0.2009477,0.03650901
1059,52618,628,0.9926052,1.898506,1.884467,-12.15111,1786.943,0.06183716,0.04036992
2758,54523,597,1.519325,1.981688,3.010827,-0.3452289,34.03604,0.05463336,0.02438948
2884,54526,557,0.5937402,1.288248,0.7648848,-0.2838545,21.13997,0.05376228,0.02082672
390,51900,243,0.6793849,0.7471476,0.5076008,-0.2624714,14.40732,0.06408318,0.02952423
2582,54139,125,1.914447,2.120395,4.059383,-20.45918,4795.136,0.1331618,0.04058812
2656,54484,131,0.2666491,2.234088,0.5957174,-28.28315,1813.709,0.05026987,0.02607697
2770,54510,314,1.056359,0.9938819,1.049897,-0.4420483,61.39754,0.05456431,0.02247991
390,51900,114,1.016777,1.798387,1.828558,-0.7344704,54.44826,0.06349286,0.02584593
490,51929,237,0.3550909,2.015965,0.7158508,-11.93238,967.4325,0.1206493,0.01723473
542,51993,560,0.3498048,1.98563,0.6945829,-15.90344,1274.526,0.1322984,0.0506738
551,51993,492,0.4098286,2.049365,0.8398883,-17.4852,2229.068,0.2344913,0.02005281
618,52049,204,2.719439,1.050226,2.856027,-0.1499407,12.96903,0.0666587,0.01276868
969,52442,88,1.025134,1.279172,1.311323,-0.3034805,33.4879,0.06457099,0.02098229
1006,52708,552,0.7772707,0.9010398,0.7003518,-0.3363576,35.00586,0.05046839,0.01076256
1610,53144,469,0.3686905,1.689524,0.6229115,-8.866331,982.1518,0.121609,0.03196147
2094,53851,630,3.506023,1.518456,5.323744,-9.84405,1342.066,0.1175316,0.01869195
2128,53800,436,0.5941785,1.606186,0.9543612,-0.6175584,75.40821,0.0520518,0.02022265
285,51930,280,2.167527,1.833078,3.973245,-10.69686,923.6492,0.2596902,0.03197987
587,52026,370,1.643667,3.698817,6.079622,-0.3297106,22.56555,0.06306924,0.03690787
2168,53886,484,1.698867,1.686879,2.865784,-7.715301,2333.71,0.264278,0.04254047
2222,53799,194,1.1999,2.510511,3.012361,-24.84218,3572.795,0.1426254,0.02418874
2520,54584,249,0.2633382,2.237825,0.5893047,-24.13497,5197.323,0.1382551,0.04823577
2784,54529,535,3.885899,1.379776,5.361671,-5.849254,354.0004,0.1600988,0.020434
306,51637,392,0.8268337,1.667266,1.378551,-0.4356185,47.10873,0.05574698,0.03816396
592,52025,376,2.555323,1.560096,3.986547,-9.680372,926.9399,0.126024,0.04435388
2006,53476,618,0.4702603,1.92204,0.903859,-11.47021,1308.8,0.1863378,0.01489416
328,52282,575,0.2684556,2.136301,0.573502,-27.60482,2409.637,0.1051187,0.01900618
464,51908,460,1.169414,1.360596,1.5911,-0.4531893,32.94079,0.0661956,0.1023146
963,52643,545,0.8719287,2.085126,1.818081,-11.2408,2536.629,0.2858998,0.01648002
1177,52824,319,0.3964647,1.126366,0.4465646,-0.7017177,94.42793,0.05247626,0.03350921
1726,53137,566,0.4303851,1.552831,0.6683153,-6.32075,767.5447,0.1918546,0.03961959
1751,53377,484,0.4679082,0.8134186,0.3806052,-0.4456516,46.99559,0.05186382,0.01367551
1795,54507,106,0.8111939,1.257553,1.02012,-3.992025,655.4658,0.2418267,0.04276688
2119,53792,479,0.7637355,2.185774,1.669353,-15.89823,2766.563,0.1637161,0.0166308
1579,53473,88,1.241625,1.260422,1.564971,-3.723757,498.1334,0.08424754,0.03708306
1819,54540,140,0.7795799,2.114187,1.648178,-17.07933,3329.567,0.1743191,0.04324507
2142,54208,637,0.6218057,2.219383,1.380025,-21.8575,6220.282,0.06449452,0.02924547
2202,53566,592,0.2783858,2.077073,0.5782274,-20.19644,1958.264,0.1490557,0.04924946
1575,53493,495,0.1576048,2.475892,0.3902123,-17.37642,1758.446,0.2688824,0.05115553
1776,53858,612,0.6722579,2.341709,1.574232,-13.2989,1311.827,0.1341881,0.03179598
2123,53793,443,1.19632,1.44043,1.723215,-5.379469,1357.127,0.07700984,0.0183279
367,51997,234,0.905154,11.21777,10.15381,-0.5293303,29.21882,0.07246289,0.03426394
367,51997,266,1.375658,0.5682995,0.781786,-0.3536663,22.63772,0.06294216,0.02614157
1059,52618,215,0.4724707,2.291722,1.082772,-12.84545,2892.682,0.2527351,0.04490913
1237,52762,621,0.002657284,1.180736,0.003137551,-2.628795,289.9603,0.1807287,0.02854004
2158,54209,114,0.1663319,2.437711,0.4054691,-24.24099,4356.603,0.136087,0.04312729
2233,53845,594,0.9054357,1.137604,1.030027,-4.384429,568.3914,0.09969537,0.02095873
394,51913,422,3.588143,0.2411422,0.8652527,-0.121332,4.0751,0.0673677,0.02306357
572,52289,442,0.336162,2.26272,0.7606404,-16.94715,1354.625,0.1617697,0.03441319
1314,53050,408,4.118233,0.3524551,1.451492,-0.1936383,8.779606,0.06415562,0.01811635
1713,53827,525,0.5370587,3.554315,1.908875,-0.379366,53.13551,0.05337936,0.02275189
2773,54533,640,0.2488954,1.947451,0.4847117,-14.82997,1652.594,0.2134592,0.03172268
270,51909,537,1.070358,1.720245,1.841278,-6.451722,1343.096,0.1774282,0.03172235
