#Table1
plate,mjd,fiberid,[OIII] 5007 flux,[OIII] 5007 flux err,Hbeta flux,Hbeta flux err,Halpha flux,Halpha flux err,[NII] 6583 flux,[NII] 6583 flux err
421,51821,428,3190.005,32.17569,361.6836,14.29919,1626.058,28.27699,3140.456,33.25869
658,52146,459,159.6949,8.806551,391.7705,9.853896,1616.085,21.79016,760.7196,15.21799
661,52163,538,633.1899,11.6965,1147.451,13.16257,4687.902,31.60018,3092.075,21.65969
661,52163,601,142.7481,8.622535,601.2401,9.785252,4676.298,35.24901,2294.917,20.88548
899,52620,185,1026.814,16.61334,949.103,13.36712,3515.597,33.05324,987.6561,13.63169
900,52637,84,63.11298,5.454159,31.16889,5.177053,95.95247,7.320471,114.6861,6.596263
900,52637,110,53.69291,4.484425,17.4569,3.401003,65.22912,4.720924,64.59053,5.18751
900,52637,420,43.77901,5.811851,25.15762,4.971555,180.2654,8.088827,215.7392,8.021976
900,52637,623,570.897,9.758911,500.8777,8.505851,2560.91,18.45769,2030.835,15.24704
901,52641,267,93.07463,12.59288,116.516,10.78762,517.9783,17.78731,368.8078,17.29625
1386,53116,262,197.1484,8.091879,606.4586,9.218939,2657.308,21.14135,1498.476,15.0521
1868,53318,574,2297.143,19.0742,347.0775,7.745147,1482.961,15.72347,1050.356,12.6205
1871,53384,563,216.3923,10.89435,110.538,8.403098,419.3155,13.97008,295.6513,13.81443
2273,53709,369,137.6838,12.32706,53.41529,10.38837,211.0105,17.59191,387.6001,18.91314
2275,53709,349,1868.851,14.24721,1289.027,10.29816,13482.17,588.0063,1157.015,8.120209
2275,53709,615,95.86843,5.969639,80.34064,4.81231,269.9392,7.839989,233.0077,8.310304
394,51913,493,2082.449,8.504254,781.5953,3.795236,2816.121,9.991525,320.8546,1.824195
394,51913,553,27.33624,2.302951,16.97291,1.985383,31.54079,2.091216,23.36345,2.287918
394,51913,561,85.03702,3.353854,54.687,3.352904,149.1404,4.543703,150.8927,4.106205
394,51913,577,25.18576,2.308312,11.15251,2.100574,39.5629,2.609937,42.805,2.458429
394,51913,587,54.77234,3.108995,20.45427,2.615618,73.46342,3.674497,90.33938,3.752074
