plate,mjd,fiberid,Hbeta flux,Hbeta flux err,redshift
789,52342,507,892.6796,22.31278,0.1347965
1330,52822,568,152.3552,6.407243,0.2367526
1381,53089,501,1227.179,8.878639,0.2642231
1383,53116,321,358.9481,6.204961,0.2460904
1464,53091,415,359.2988,7.956083,0.2252122
1380,53084,510,451.7043,6.066277,0.2762372
2009,53904,546,244.6292,5.517522,0.2466348
2158,54209,114,4356.603,27.35454,0.136087
789,52342,212,247.8274,7.401041,0.2706725
1162,52668,73,143.2007,3.788158,0.230684
1165,52703,486,410.2334,10.32855,0.2112526
1165,52703,629,165.0982,7.49131,0.1378198
1467,53115,48,959.7911,11.441,0.2585572
1459,53117,225,141.1624,4.959957,0.2251981
1461,53062,15,103.6456,4.453204,0.297337
1377,53050,206,358.2425,6.747893,0.2667046
2033,53476,57,569.4219,11.4424,0.1894373
2033,53476,357,596.792,6.794421,0.2463993
2160,53885,444,324.7374,6.371229,0.2361374
1842,53501,291,97.20817,4.271786,0.264246
2016,53799,61,1984.522,30.04457,0.1829528
2126,53794,85,246.484,6.763372,0.2475406
2134,53876,268,268.1367,4.258825,0.2622485
2137,54206,99,165.1788,6.151517,0.2184688
2126,53794,496,205.0993,6.726465,0.2252883
2130,53881,427,281.8895,5.157375,0.292812
2145,54212,76,106.3263,4.975756,0.2296589
2650,54505,207,152.3747,4.429342,0.2825699
499,51988,243,490.5209,6.620523,0.1605999
607,52368,625,1777.994,11.32278,0.2755408
608,52081,569,491.3932,9.129649,0.2965274
1317,52765,98,46.20585,6.109749,0.2657985
2142,54208,292,112.5764,4.648944,0.2570201
2142,54208,499,131.6528,4.821912,0.2240888
2142,54208,621,71.18325,4.108935,0.2375643
2773,54533,640,1652.594,19.30705,0.2134592
2774,54534,430,1842.363,34.33869,0.1098744
2776,54554,495,89.68754,3.647449,0.2991473
603,52056,260,190.2026,5.488458,0.2183968
604,52079,90,522.8646,14.49147,0.1161843
606,52365,290,194.0835,4.825841,0.1808696
605,52353,120,471.6942,7.157431,0.2690632
1829,53494,249,1324.26,13.06183,0.1170313
1834,54562,341,102.6267,4.351134,0.1740427
1829,53494,464,1192.412,13.26812,0.2076814
1699,53148,331,287.0493,8.32078,0.2017202
1841,53491,116,52.6361,5.493792,0.2458225
1845,54144,39,341.3671,6.571103,0.2079677
1846,54173,426,1164.139,12.11357,0.2689301
1844,54138,446,206.9606,5.788479,0.1936767
1704,53178,389,243.5901,8.533693,0.1992838
1774,53759,602,266.3202,4.837603,0.231364
1776,53858,612,1311.827,12.83362,0.1341881
2787,54552,390,140.2599,3.861417,0.2813598
846,52407,119,155.7205,5.645632,0.2334552
612,52079,519,151.8444,6.014632,0.2042243
613,52345,99,5256.383,34.16758,0.07809116
885,52379,449,86.80108,5.787861,0.2016241
1813,53903,285,502.7711,8.763286,0.1868422
1813,53903,302,180.3115,3.870265,0.2567506
1818,54539,268,592.9573,11.33217,0.2681072
1798,53851,559,86.26176,3.593779,0.2746552
2017,53474,180,210.1016,5.665367,0.2275464
2017,53474,168,172.4877,5.3083,0.2114582
2757,54509,534,498.8271,6.356805,0.2451501
847,52426,558,230.7752,6.096683,0.2331841
522,52024,408,274.9844,6.874907,0.226549
1790,53876,472,25.76958,2.074352,0.2815173
340,51990,174,102.635,5.757139,0.1742078
910,52377,167,65.9139,4.524646,0.1839719
341,51690,600,485.5947,6.494969,0.2229706
912,52427,339,31.13124,2.757916,0.2922319
1046,52460,125,513.0931,6.355764,0.2540441
1046,52460,54,14.08756,3.388104,0.2485362
1351,52790,492,213.1042,7.706583,0.2834726
2242,54153,588,126.2934,4.715852,0.237003
2242,54153,454,79.36034,3.266365,0.2761594
589,52055,41,320.9311,7.695277,0.1729297
588,52045,354,181.4231,4.661622,0.2864626
854,52373,398,1265.397,10.39767,0.2657104
854,52373,621,341.4805,6.990962,0.1867498
583,52055,497,218.3956,4.767836,0.2413322
849,52439,590,254.5732,8.342877,0.2001507
1793,53883,280,223.0222,6.030725,0.2743539
1051,52468,265,709.6618,7.270897,0.2382287
1378,53061,208,339.8229,5.364526,0.2766464
2101,53858,118,81.6624,3.849544,0.2842707
2033,53476,104,589.8008,11.23727,0.1401217
2033,53476,512,3167.782,28.13142,0.2848447
1838,53467,410,223.9284,4.096941,0.2799086
2237,53828,448,43.81033,4.170009,0.235612
2002,53471,538,655.6048,11.21255,0.20616
2110,53467,43,110.4959,4.826092,0.2203435
2606,54154,581,292.094,9.653852,0.2645762
2607,54184,477,695.1603,7.267591,0.2086255
2748,54234,628,125.377,4.017187,0.2679554
2761,54534,250,622.2419,10.24729,0.1624963
1042,52725,305,385.3743,14.61485,0.1615461
1372,53062,486,323.9026,6.688134,0.2288463
1373,53063,434,124.0855,5.598316,0.213071
1344,52792,487,403.0176,6.460791,0.2250107
1345,52814,498,491.357,8.92907,0.2742291
2129,54252,18,562.6619,12.01704,0.113312
2133,53917,43,370.9969,6.468403,0.255357
2137,54206,533,119.1435,6.128075,0.1996945
2653,54230,372,170.442,4.320465,0.2904827
2651,54507,448,41.14272,3.222587,0.2577475
1346,52822,278,245.0868,7.995112,0.2318444
1350,52786,193,789.1295,11.86665,0.1456012
1346,52822,116,343.0688,9.327702,0.1680428
2787,54552,171,74.55131,3.937084,0.2767682
2788,54553,395,506.8268,6.997338,0.2840404
2783,54524,397,82.67503,4.268567,0.2706638
2751,54243,575,1935.271,17.61674,0.1180205
602,52072,22,113.0889,4.763738,0.2730165
1162,52668,483,183.5643,4.366529,0.257148
1164,52674,422,110.1135,5.284736,0.2618298
1164,52674,480,241.9292,5.357691,0.2814417
1794,54504,190,462.8033,7.349785,0.2318723
1795,54507,106,655.4658,12.71092,0.2418267
1794,54504,331,725.9919,8.128214,0.2724296
1984,53433,609,448.1307,8.447029,0.178252
1644,53144,349,765.9966,14.39913,0.2119145
1645,53172,109,49.70665,5.136622,0.2961887
1650,53174,545,2162.26,17.30399,0.2739726
2121,54180,631,164.8087,5.731501,0.2565132
294,51986,299,66.01272,4.036871,0.2346111
526,52312,457,478.4542,7.823318,0.2969392
526,52312,410,60.35434,3.480873,0.2089116
526,52312,537,1217.897,15.05764,0.2688896
305,51613,550,349.2582,5.15906,0.2195398
1042,52725,132,621.0911,8.379268,0.2690201
1046,52460,170,711.2766,9.015437,0.2034624
1047,52733,355,237.4101,10.59582,0.1660594
1289,52734,449,82.51402,4.74318,0.2653963
1711,53535,436,400.3225,4.634014,0.2304113
1987,53765,464,213.1635,6.586143,0.2703313
2006,53476,623,345.6085,4.610024,0.2805525
2006,53476,628,495.8312,9.984046,0.1473606
2604,54484,232,504.2233,7.437836,0.2082254
2601,54144,271,259.4819,5.212252,0.2630214
2603,54479,200,269.8766,7.57269,0.1901163
2604,54484,598,113.8943,6.144993,0.1927217
2601,54144,378,195.9526,5.069252,0.2641678
2601,54144,575,93.04583,5.203782,0.2014321
495,51988,515,212.8707,5.487026,0.255159
497,51989,437,503.2493,9.429523,0.1361378
2947,54533,473,54.41901,3.56109,0.2847331
959,52411,192,199.6283,7.530854,0.1921499
960,52425,321,153.4838,5.413359,0.1710412
1817,53851,35,497.5895,6.028819,0.2825226
1802,53885,192,529.3924,7.884102,0.1909368
1802,53885,491,49.07101,3.727228,0.2478844
1809,53792,602,2506.536,17.72384,0.17813
1814,54555,573,1777.444,17.25888,0.129768
1798,53851,410,48.78432,2.442628,0.2800465
1804,53886,633,135.7899,3.978731,0.2801969
1810,53794,439,483.3466,5.819026,0.2848062
2760,54506,639,346.2589,7.965782,0.2248143
294,51986,194,1226.009,14.94329,0.1701931
590,52057,176,657.3569,9.221554,0.1728526
582,52045,428,150.5186,4.882825,0.2393308
592,52025,376,926.9399,11.06087,0.126024
582,52045,384,30.66834,2.934035,0.253616
584,52049,547,62.52968,3.851722,0.2981969
852,52375,349,524.1245,8.542035,0.2424925
1318,52781,242,268.3517,8.015156,0.2096186
1462,53112,64,212.0715,9.642438,0.2133427
1377,53050,358,2023.652,17.2012,0.1610482
1378,53061,158,114.8639,2.565261,0.2654042
1383,53116,476,1849.03,16.96752,0.1133184
1464,53091,390,1187.199,12.30956,0.1815409
1464,53091,550,154.1145,4.839944,0.230995
1377,53050,554,493.3671,9.532073,0.1604147
1377,53050,514,91.76868,4.600595,0.2707613
2661,54505,550,280.6693,5.928154,0.1956688
2662,54505,445,285.3338,5.42766,0.2745785
298,51955,577,159.3883,4.686191,0.2455795
308,51662,523,117.7394,4.799212,0.2963802
524,52027,531,384.5011,6.066719,0.1853426
525,52295,329,46.96118,4.258937,0.2657584
958,52410,415,205.4912,5.986231,0.2549202
958,52410,525,170.9032,5.071492,0.2826634
958,52410,606,333.0728,6.320735,0.1371693
850,52338,248,1162.181,12.03275,0.2273587
855,52375,251,55.67508,4.182914,0.2534572
850,52338,234,245.6323,5.741287,0.2957134
856,52339,10,1758.235,18.23938,0.1642211
1789,54259,190,1144.884,11.90476,0.1923565
1287,52728,296,1965.385,20.66439,0.1137073
1807,54175,282,360.7906,4.027853,0.2788069
2014,53460,440,574.8809,6.179327,0.2473611
2142,54208,637,6220.282,47.64117,0.06449452
2145,54212,467,202.7542,6.755351,0.2789952
2024,53503,237,299.1662,5.522201,0.2464555
2024,53503,225,39.36084,4.354208,0.2318997
2137,54206,441,322.4945,5.672996,0.2496374
1975,53734,180,51.91676,3.743659,0.2404729
2242,54153,253,589.2766,8.296718,0.1830579
1714,53521,408,177.4319,3.520527,0.2603083
2746,54232,494,592.7064,6.604185,0.2311233
299,51671,133,1711.321,8.455066,0.2374521
299,51671,580,72.71386,2.812771,0.2550515
300,51943,206,114.511,4.473298,0.2341849
529,52025,195,110.332,3.628627,0.2727271
913,52433,132,313.4665,5.311876,0.2230707
608,52081,65,283.6123,5.55627,0.2973105
1045,52725,72,421.1496,8.479697,0.2754058
1050,52721,500,724.2312,9.054444,0.1986541
1375,53084,87,973.7367,10.59414,0.1966696
1376,53089,94,116.7309,5.198428,0.177022
1826,53499,495,34.24898,3.4089,0.2375394
1811,53533,122,1004.002,8.382993,0.2306872
2022,53827,553,72.75501,4.511138,0.2069422
847,52426,602,635.4926,11.71719,0.1820049
1289,52734,184,874.7607,8.34718,0.2313373
1165,52703,202,92.15675,3.679224,0.220537
2018,53800,568,203.922,5.208918,0.176591
1771,53498,100,1315.658,14.18565,0.1427399
1987,53765,82,388.1747,6.947311,0.2738303
301,51942,545,312.2499,5.156001,0.2585477
1281,52753,569,99.44942,4.500621,0.2491418
1288,52731,236,189.9836,7.277942,0.2076394
1290,52734,136,484.8739,9.266313,0.1898469
2156,54525,193,119.7763,3.992011,0.2705555
2119,53792,479,2766.563,25.11764,0.1637161
2144,53770,263,81.89317,3.597586,0.2997678
2662,54505,293,541.0374,10.40839,0.2583058
2771,54527,419,1618.641,13.08394,0.2610683
2661,54505,197,331.5082,6.884879,0.1883969
497,51989,179,268.8527,4.733372,0.2404175
497,51989,44,130.8399,4.856287,0.2987612
1280,52738,361,156.9879,4.807752,0.2362584
1397,53119,190,2752.637,24.59304,0.2679094
1461,53062,358,97.5112,3.323974,0.2715686
