RAJ2000	DEJ2000
189.67804	45.30687
189.77188	41.44564
189.81419	53.2374
189.93733	19.90707
189.99405	49.09448
190.0544	31.04537
190.40521	44.7483
190.59734	19.78912
190.65991	4.93792
190.84929	5.24622
190.92404	9.28532
190.94144	6.57526
191.08318	40.86023
191.24509	17.54988
191.34576	31.87208
191.35986	7.73209
191.46266	3.35788
191.58711	18.35663
191.79945	29.65291
191.81377	67.82478
191.88229	45.0226
192.05762	36.40657
192.13971	56.58541
192.22458	34.40819
192.38217	52.51086
192.40251	33.50838
192.41	46.79026
192.56757	4.96252
192.71269	6.15277
192.75185	66.05745
192.92616	24.07647
192.93208	32.69266
193.08147	18.34335
193.15062	14.03722
193.19359	2.18839
193.36543	14.91556
193.40714	21.43838
193.43216	12.45597
193.46281	6.64763
193.53825	25.92354
193.96889	-2.89384
194.41388	8.15881
194.53107	23.48933
194.66898	56.05942
194.76808	50.81458
194.78174	59.74718
194.78484	56.25853
194.81354	9.53444
194.88953	-1.47594
195.03333	3.93239
195.15091	13.78491
195.22937	67.41791
195.26462	6.95326
195.40193	24.35945
195.57301	25.72062
195.59633	14.10251
195.60806	-1.08644
195.71049	11.30777
195.89711	-0.82022
196.07083	2.09364
196.08885	17.31855
196.09105	56.13811
196.09535	20.91953
196.13763	3.29984
196.16957	38.60146
196.21654	11.1335
196.23712	39.85317
196.23715	13.47949
196.2596	28.10027
196.31711	39.21719
196.32014	26.21779
196.35408	57.89919
196.3773	5.6643
196.39371	18.3258
196.46049	-1.3921
196.46461	46.08963
196.57736	8.87818
196.60402	34.02663
196.78653	34.40607
196.80141	34.10626
196.80522	-0.60046
196.87508	9.3681
196.96941	60.43016
196.98573	1.11934
197.07875	3.74367
197.08409	27.71761
197.15657	4.54377
197.18277	19.07772
197.31	34.75292
197.35675	12.72747
197.36163	45.71582
197.36531	3.38105
197.44583	8.33006
197.53333	63.68432
197.82724	46.58397
197.89859	14.41311
197.93417	20.01997
197.98416	60.33945
198.01962	6.68544
198.07396	35.25585
198.09209	29.62994
198.11266	41.1058
198.21835	50.27443
198.28564	16.3569
198.28613	54.35431
198.30054	28.79167
198.36449	-2.54247
198.52074	15.51505
198.52678	31.97909
198.78593	43.19787
198.89946	13.8157
198.90735	60.75173
198.95998	23.07459
199.24026	64.30289
199.2771	6.4899
199.35562	17.10869
199.40804	10.4077
199.45967	60.17801
199.63397	34.89381
199.6964	9.79445
199.78262	27.3078
199.89888	2.37314
199.97148	3.55999
200.20163	3.04457
200.24757	29.95782
200.25348	45.68458
200.27493	50.77624
200.34753	4.99187
200.40358	35.93152
200.43738	3.51548
200.45027	54.13625
200.49541	52.74477
200.50446	51.71045
200.64273	63.23564
200.74124	36.38335
200.9205	42.90492
200.9698	-2.01716
201.07607	58.81992
201.23872	48.04479
201.32558	41.16936
201.49541	-3.51389
201.68176	1.86925
201.73091	12.78296
202.08502	24.15762
202.08597	31.25702
202.13576	-2.55595
202.38034	7.48587
202.39761	22.26957
202.47862	18.34492
202.55186	18.43524
202.56711	52.85052
202.71352	41.48282
202.72198	31.32516
202.81516	14.98049
202.96628	5.06267
203.15808	59.51491
203.17159	30.0185
203.22195	2.01269
203.37274	15.76389
203.43948	41.69104
203.59711	43.72549
203.63452	30.27863
203.63478	17.19639
203.6385	-1.64038
203.63991	60.14584
203.64742	57.83768
203.71016	1.03857
203.76099	9.72354
203.77716	34.20953
204.05125	9.79634
204.10025	39.29197
204.15273	42.1595
204.20462	-0.34926
204.31633	3.16016
204.48091	41.1501
204.61119	17.0767
204.65303	44.24514
204.75568	45.38174
204.80156	53.92427
204.86597	66.48358
204.87083	52.4565
204.95996	15.99116
204.96448	50.18362
204.96996	12.30465
205.01251	36.50442
205.13341	5.36627
205.14717	55.82548
205.15921	40.61132
205.27303	37.24771
205.30804	-0.88751
205.52737	5.08997
205.56741	1.92186
205.6301	38.48428
205.80275	47.23168
205.80585	65.68623
205.86363	8.37615
205.87457	28.05593
205.95883	28.03497
205.96996	1.00264
205.98643	25.64658
206.0255	39.47152
206.08698	66.62155
206.21919	-1.24786
206.2477	-0.26654
206.31885	54.15706
206.40755	63.52516
206.4521	11.74543
206.56621	58.00226
206.5731	62.34597
206.62306	10.87406
206.64572	31.35939
206.66679	-3.00365
206.69362	31.26575
206.73869	36.5476
206.77046	14.69379
206.88786	13.66708
206.90607	30.21452
206.95029	40.77574
206.95824	40.76028
206.9706	10.09219
207.017	60.52518
207.08755	50.06027
207.08974	38.56363
207.09299	24.94727
207.11195	-0.99553
207.18936	45.30266
207.2282	43.05253
207.36906	3.98487
207.40871	3.59552
207.44894	4.86781
207.53564	23.52947
207.55103	18.21636
207.72105	25.39171
207.7793	65.52428
207.89856	13.95609
208.02585	3.17364
208.13672	12.72259
208.29428	35.8274
208.35884	36.34707
208.44586	35.72405
208.60869	14.69763
208.6487	18.08819
208.69939	42.11152
208.81184	29.92454
208.819	56.2124
208.89247	39.14091
208.95918	20.7707
209.10649	25.2566
209.23982	8.05241
209.30255	17.07892
209.33116	39.67926
209.50679	11.89218
209.55501	28.53665
209.58208	36.06712
209.62326	1.1524
209.66759	47.54508
209.71863	29.90366
209.73915	16.2478
209.78336	0.45886
209.92976	-0.57348
210.0304	40.89935
210.12558	0.36904
210.14029	15.74224
210.20926	53.40682
210.25676	40.90882
210.33385	18.48414
210.40263	4.27423
210.44594	23.40369
210.4986	29.57025
210.50229	42.07821
210.51982	29.66302
210.7133	26.52155
210.71722	4.99241
210.78665	37.97431
210.81631	22.97926
210.87303	13.84591
210.90182	17.69337
211.01747	46.70269
211.02988	21.556
211.03282	18.86899
211.03526	4.68953
211.24039	61.89123
211.26102	47.12986
211.37717	28.45683
211.59122	22.39626
211.61371	61.48055
211.74461	14.71066
211.75166	28.45407
211.99046	32.53594
212.03416	43.0546
212.10318	54.63824
212.11594	24.15685
212.16252	63.10015
212.3098	56.94048
212.59206	20.24884
212.67291	22.5603
212.67485	31.67539
212.72264	9.17416
212.81967	19.74446
212.88275	44.33362
212.93848	10.50324
213.05675	2.20059
213.05676	64.59415
213.16348	9.51344
213.31369	29.1105
213.35474	34.25719
213.46526	28.36807
213.67513	16.96866
213.69165	37.03392
213.77463	4.76282
213.89975	48.59545
213.98683	5.34154
213.98857	49.89293
214.25117	56.43301
214.25345	44.93511
214.49271	36.12817
214.93654	39.22152
214.98602	58.58372
214.99815	28.78419
215.17027	6.84987
215.41043	15.34608
215.44234	7.65231
215.51932	15.17963
215.62642	29.8734
215.6582	-2.94868
215.66095	14.61526
215.67067	13.13061
215.69078	63.12755
215.72282	47.54786
215.8091	50.92702
215.85612	38.67578
215.96858	22.79596
216.10086	59.88348
216.1458	21.70222
216.18987	49.38834
216.21803	4.78433
216.34325	8.05753
