C.D.S.  -  SIMBAD4 rel 1.8  -  2024.05.31CEST11:10:07

2009MNRAS.398.1905W2009MNRAS.398.1905W
--------------------------------------

2009MNRAS.398.1905W
10.1111/j.1365-2966.2009.15127.x

Mon. Not. R. Astron. Soc., 398, 1905-1914 (2009/October-1)
The black hole mass, Eddington ratio and M_BH_-{sigma}_[Oiii]_relation in young
radio galaxies.
WU Q.

-Files: (abstract)
-Simbad objects: 65

Number of objects : 65

# 	 obj tags 	obj count	    raw id    	            identifier             	typ	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	Mag I 	  spec. type   	#bib	#not
--	----------	---------	--------------	-----------------------------------	---	---------------------------------------	---------	---------	---------	---------	------	---------------	----	----
1 	d         	        1	B 0019-0001   	ICRF J002225.4+001456              	Sy2	00 22 25.42584644 +00 14 56.1630395    	     ~   	21.1     	     ~   	     ~   	     ~	~              	 119	   1
2 	d         	        1	3C 43         	3C 43                              	QSO	01 29 59.7696120312 +23 38 20.041393524	     ~   	     ~   	     ~   	     ~   	     ~	~              	 202	   1
3 	d         	        1	RX J0134-4258 	2MASS J01341690-4258262            	Sy1	01 34 16.9072341600 -42 58 26.223391344	     ~   	18.17    	17.30    	16.71    	     ~	~              	  76	   1
4 	d         	        1	3C 48         	3C 48                              	QSO	01 37 41.2996631208 +33 09 35.080388820	     ~   	16.62    	16.20    	     ~   	     ~	~              	2822	   2
5 	d         	        1	3C 67         	7C 022118.10+273638.00             	Sy1	02 24 12.2865158736 +27 50 11.538285648	     ~   	19.502   	18       	18.263   	     ~	~              	 209	   1
6 	d         	        1	B 0237-233    	QSO B0237-2322                     	QSO	02 40 08.1743783856 -23 09 15.729012036	     ~   	16.78    	16.63    	     ~   	     ~	~              	 506	   1
7 	d         	        1	PKS 0252-71   	PKS 0252-712                       	rG 	02 52 46.15578 -71 04 35.2742          	     ~   	19.0     	19.0     	     ~   	     ~	~              	 100	   1
8 	d         	        1	3C 93.1       	3C 93.1                            	BLL	03 48 46.9073426592 +33 53 15.461439576	     ~   	20.723   	     ~   	19.110   	     ~	~              	 131	   1
9 	d         	        1	B 0457+24     	QSO J0459+0229                     	QSO	04 59 52.05066296 +02 29 31.1765162    	     ~   	18.2     	19       	     ~   	     ~	~              	 163	   2
10	d         	        1	3C 138        	ICRF J052109.8+163822              	Sy1	05 21 09.88596258 +16 38 22.0515459    	     ~   	19.37    	18.84    	18.480   	     ~	~              	 857	   1
11	d         	        1	B 0537+6444   	[VV2000] J054210.0+644633          	QSO	05 42 10.0251297768 +64 46 32.308992696	     ~   	     ~   	19.50    	     ~   	     ~	~              	   7	   0
12	d         	        1	3C 147        	ICRF J054236.1+495107              	Sy1	05 42 36.13789710 +49 51 07.2337139    	     ~   	18.45    	17.80    	17.210   	     ~	~              	1502	   1
13	d         	        1	B 0544+5847   	[VV2000] J054827.0+584756          	QSO	05 48 26.9657823024 +58 47 55.838614992	     ~   	     ~   	19.40    	     ~   	     ~	~              	   8	   0
14	d         	        1	B 0601+5753   	[VV2000] J060542.2+575317          	QSO	06 05 42.22751560 +57 53 16.3562214    	     ~   	     ~   	19.80    	     ~   	     ~	~              	  20	   0
15	d         	        1	3C 186        	3C 186                             	QSO	07 44 17.4720658920 +37 53 17.250697320	     ~   	17.5     	18.14    	17.2     	     ~	~              	 325	   1
16	d         	        1	B 0755+6354   	[VV2000] J075952.9+634613          	QSO	07 59 52.8622157040 +63 46 13.570634928	     ~   	     ~   	19.10    	     ~   	     ~	~              	   7	   0
17	d         	        1	3C 190        	3C 190                             	QSO	08 01 33.5525166480 +14 14 42.813906612	     ~   	21.07    	20.26    	18.972   	     ~	~              	 243	   2
18	d         	        1	B 0758+5929   	[VV2000] J080224.6+592135          	QSO	08 02 24.5938 +59 21 34.807            	     ~   	     ~   	20.50    	     ~   	     ~	~              	  23	   1
19	d         	        1	3C 191        	3C 191                             	QSO	08 04 47.9671662720 +10 15 23.746977252	     ~   	18.65    	18.40    	     ~   	     ~	~              	 291	   2
20	d         	        1	B 0826+7045   	[VV2000] J083157.8+703536          	QSO	08 31 57.7597 +70 35 36.264            	     ~   	     ~   	19.70    	     ~   	     ~	~              	  12	   1
21	d         	        1	B 0830+5813   	87GB 083013.0+581348               	Bla	08 34 11.1012882048 +58 03 21.404149128	     ~   	     ~   	     ~   	     ~   	     ~	~              	  25	   1
22	d         	        1	3C 213.1      	3C 213.1                           	AGN	09 01 05.2614565176 +29 01 46.939089828	     ~   	18.84    	18.08    	18.600   	     ~	~              	 125	   1
23	d         	        1	3C 216        	ICRF J090933.4+425346              	Sy2	09 09 33.49714902 +42 53 46.4821036    	     ~   	19.98    	19.42    	18.220   	     ~	~              	 505	   1
24	d         	        1	B 0941-0805   	ICRF J094336.9-081930              	LIN	09 43 36.94453828 -08 19 30.8202783    	     ~   	19.401   	     ~   	18.100   	     ~	~              	 121	   2
25	d         	        1	3C 241        	3C 241                             	rG 	10 21 54.5 +21 59 30                   	     ~   	23.5     	     ~   	     ~   	     ~	~              	 168	   1
26	d         	        1	TeX 11111+329 	IRAS 11119+3257                    	Sy1	11 14 38.8902542640 +32 41 33.483258276	     ~   	19.22    	17.96    	     ~   	     ~	~              	 146	   0
27	d         	        1	B 1144+3517   	ICRF J114722.1+350107              	Sy2	11 47 22.1297825184 +35 01 07.538786184	     ~   	17.89    	16.83    	10.26    	     ~	~              	 174	   1
28	d         	        1	PKS 1151-348  	ICRF J115421.7-350529              	Sy1	11 54 21.7842834888 -35 05 29.079469716	     ~   	18.81    	17.84    	     ~   	     ~	~              	 131	   1
29	d         	        1	3C 268.3      	3C 268.3                           	Sy1	12 06 24.70656 +64 13 36.8760          	22.74    	21.847   	20.790   	19.910   	     ~	~              	 190	   1
30	d         	        1	PKS 1221-423  	LEDA 139813                        	Sy2	12 23 43.3686897072 -42 35 32.031375288	19.45    	17.28    	17.75    	15.69    	     ~	~              	  42	   1
31	d         	        1	3C 277.1      	2E 2879                            	Sy1	12 52 26.3561235816 +56 34 19.573734864	     ~   	18.42    	18.11    	17.660   	     ~	~              	 287	   2
32	d         	        1	3C 287        	7C 132816.2+252436                 	QSO	13 30 37.6960744824 +25 09 10.983105972	     ~   	18.31    	17.67    	     ~   	     ~	~              	 363	   1
33	d         	        1	3C 286        	3C 286                             	Sy1	13 31 08.2883506368 +30 30 32.960091564	     ~   	17.51    	17.25    	     ~   	     ~	~              	4358	   2
34	dx        	        4	4C 12.50      	ICRF J134733.3+121724              	Sy2	13 47 33.36161873 +12 17 24.2398927    	     ~   	19.28    	18.44    	15.718   	     ~	~              	 599	   3
35	d         	        1	3C 293        	3C 293.0                           	BLL	13 52 17.8719816576 +31 26 46.487381604	     ~   	16.10    	15.10    	     ~   	     ~	~              	 473	   3
36	d         	        1	3C 298        	3C 298.0                           	QSO	14 19 08.1802187928 +06 28 34.802854680	     ~   	17.12    	16.79    	     ~   	     ~	~              	 409	   1
37	d         	        1	3C 303.1      	8C 1443+773                        	Sy2	14 43 14.8 +77 07 29                   	     ~   	19       	     ~   	18.730   	     ~	~              	 148	   1
38	dx        	        4	OQ 172        	QSO B1445+101                      	QSO	14 45 16.46525080 +09 58 36.0727447    	     ~   	18.58    	17.78    	     ~   	     ~	~              	 397	   2
39	d         	        1	3C 309.1      	ICRF J145907.5+714019              	Sy1	14 59 07.58390804 +71 40 19.8668093    	     ~   	17.24    	16.78    	17.2     	     ~	~              	 494	   1
40	d         	        1	PKS 1524-136  	QSO B1524-136                      	QSO	15 26 59.44274001 -13 51 00.2643644    	     ~   	     ~   	20.5     	     ~   	     ~	~              	  98	   1
41	d         	        1	B 1538+5920   	[VV2000] J153929.6+591101          	QSO	15 39 29.5141 +59 11 00.732            	     ~   	     ~   	20.90    	     ~   	     ~	~              	  14	   1
42	d         	        1	B 1550+5815   	7C 155054.79+581551.00             	QSO	15 51 58.2078070152 +58 06 44.454684204	     ~   	17.03    	16.73    	15.60    	     ~	~              	  70	   1
43	d         	        1	PKS 1549-79   	ICRF J155658.8-791404              	Sy2	15 56 58.86979525 -79 14 04.2817241    	     ~   	18.80    	18.800   	17.84    	     ~	~              	 204	   1
44	d         	        1	B 1622+6630   	WN B1622+6630                      	G  	16 22 36.4 +66 23 24                   	     ~   	     ~   	     ~   	     ~   	     ~	~              	  10	   0
45	d         	        1	3C 343        	ICRF J163433.8+624535              	Sy2	16 34 33.80623119 +62 45 35.8960467    	     ~   	21.06    	20.61    	     ~   	     ~	~              	 216	   1
46	d         	        1	B 1642+6701   	[VV2000] J164222.0+665550          	QSO	16 42 21.9267404592 +66 55 49.489560192	     ~   	     ~   	17.30    	     ~   	     ~	~              	  19	   1
47	d         	        1	3C 346        	3C 346.0                           	BLL	16 43 48.605 +17 15 49.43              	     ~   	17.2     	     ~   	     ~   	     ~	~              	 265	   1
48	d         	        1	B 1647+6225   	87GB 164730.8+622619               	AGN	16 48 03.7 +62 20 40                   	     ~   	     ~   	     ~   	     ~   	     ~	~              	   9	   0
49	d         	        1	SDSS 1722+565 	2MASS J17220601+5654518            	Sy1	17 22 06.0278806104 +56 54 51.664893732	     ~   	18.79    	18.48    	     ~   	     ~	~              	  65	   1
50	d         	        1	B 1746+6921   	[VV2000] J174630.1+692035          	QSO	17 46 30.0290435640 +69 20 35.547329508	     ~   	     ~   	19.50    	     ~   	     ~	~              	  14	   1
51	d         	        1	B 1819+6707   	LEDA 2695698                       	G  	18 19 44.4292 +67 08 47.179            	     ~   	     ~   	     ~   	     ~   	     ~	~              	  21	   1
52	d         	        1	3C 380        	ICRF J182931.7+484446              	Sy1	18 29 31.7809732968 +48 44 46.160168892	     ~   	17.05    	16.81    	16.860   	     ~	~              	 692	   1
53	d         	        1	B 1946+7048   	QSO B1946+708                      	BLL	19 45 53.51966298 +70 55 48.7285673    	     ~   	18.726   	16.70    	17.199   	     ~	~              	 140	   2
54	d         	        1	B 1945+6024   	[VV2000] J194613.0+603139          	QSO	19 46 13.0629288384 +60 31 38.911050552	     ~   	     ~   	20.40    	     ~   	     ~	~              	  11	   1
55	d         	        1	B 1958+6158   	[VV2000] J195930.2+620645          	QSO	19 59 30.1308792768 +62 06 44.723199708	     ~   	     ~   	19.10    	     ~   	     ~	~              	  11	   2
56	d         	        1	PKS 2004-447  	ICRF J200755.1-443444              	Sy1	20 07 55.1842447944 -44 34 44.274118260	     ~   	19.3     	19.3     	18       	     ~	~              	 174	   1
57	d         	        1	IRAS 2018-2244	2MASX J20210438-2235183            	Sy1	20 21 04.0639 -22 35 25.775            	     ~   	17.53    	16.8     	16.28    	     ~	~              	  44	   1
58	d         	        1	B 2126-158    	QSO B2126-15                       	Bla	21 29 12.17589329 -15 38 41.0419083    	     ~   	17.61    	17.3     	17.3     	     ~	~              	 505	   1
59	d         	        1	B 2134+004    	QSO B2134+0028                     	QSO	21 36 38.58632232 +00 41 54.2128562    	     ~   	17.30    	17.08    	17.02    	     ~	~              	 562	   2
