mjd,mag,magerr
51075.39155,19.31,0.013
51081.37524,19.363,0.013
51818.36131,19.179,0.011
52170.41222,18.908,0.01
52173.32557,18.921,0.011
52224.30574,18.856,0.009
52234.26222,18.831,0.009
52261.22557,18.837,0.009
52287.10607,18.824,0.009
52552.42477,18.687,0.01
52908.37369,18.891,0.01
52934.3056,18.913,0.01
52936.30152,18.885,0.009
53270.36559,18.903,0.025
53272.41552,18.904,0.01
53286.38424,18.905,0.011
53288.34273,18.936,0.01
53294.39041,18.939,0.011
53298.38719,18.941,0.011
53302.3384,18.94,0.015
53312.29399,18.972,0.02
53314.29513,18.963,0.012
53319.28293,18.978,0.014
53628.36078,19.001,0.016
53637.3624,18.964,0.016
53639.40778,19.007,0.011
53641.40694,18.992,0.011
53657.36583,18.993,0.022
53663.35037,18.915,0.016
53665.32835,19.03,0.018
53666.42046,19.059,0.016
53668.33997,19.042,0.013
53669.4276,19.094,0.016
53673.31281,19.042,0.01
53675.3097,19.013,0.011
53677.33073,19.037,0.01
53680.3174,19.02,0.011
53683.37596,19.01,0.012
53686.31683,18.985,0.023
53693.31929,18.956,0.021
53698.31668,18.982,0.012
53989.39877,18.987,0.024
53995.43748,18.96,0.019
54000.37422,18.975,0.023
54007.42423,19.002,0.036
54009.34809,19.011,0.03
54011.41252,19.106,0.029
54025.41157,18.992,0.017
54346.40527,18.791,0.024
54348.40924,18.794,0.028
54358.36506,18.806,0.048
54365.39813,18.85,0.031
54381.41778,18.81,0.02
54384.42435,18.815,0.029
54386.41003,18.826,0.018
54388.41439,18.874,0.013
54392.41196,18.828,0.019
54403.32815,18.787,0.025
54405.38359,18.817,0.027
54406.32191,18.771,0.022
54412.34781,18.79,0.021
