time,cont,conterr
-2.0,2.0,0.016
-1.1149900336895247,-0.8142589118198729,0.012
-1.0467469233932096,-1.2270168855534562,0.012
-0.6911040748894657,-0.37898686679172977,0.012
-0.6910160573480641,-0.8442776735459618,0.012
-0.6887308904011,-1.0694183864915359,0.012
-0.6275112751332477,-0.3189493433395785,0.012
-0.6263521169201425,-0.3639774859286986,0.012
-0.6155550871577999,0.4090056285178454,0.013
-0.5831761264612396,-0.13133208255156914,0.012
-0.5569166797178873,-0.5816135084427703,0.014
-0.5520975199846321,-0.6491557223264504,0.012
-0.5508973671356918,-0.7767354596622817,0.012
-0.23474549745644757,-0.49906191369603214,0.013
-0.23348942219856772,-0.2138836772982804,0.012
-0.22751596169265587,-0.10131332082550681,0.012
-0.22630006929564872,-0.3114446529080497,0.012
-0.20243723683561554,-0.4240150093808499,0.012
-0.19407573732012384,-0.2514071294558984,0.012
-0.19401063440878463,-0.10881801125700918,0.012
0.19395204010738176,-0.9043151969981131,0.012
0.19519993877391562,-1.1294559099437136,0.011
0.19636505560740547,-1.1219512195121846,0.012
0.19873075159178333,-1.0093808630393846,0.012
0.2250923835112526,-1.204502814258896,0.011
0.22629886244085506,-1.2270168855534562,0.012
0.2274891923323561,-1.1894934333958649,0.011
0.25983030702319665,-0.859287054408993,0.012
0.6286502626597756,-0.10881801125700918,0.018
0.6311118693761819,-0.461538461538441,0.012
0.6478862143746738,-0.49155722326453,0.014
0.650238072958242,-0.4240150093808499,0.012
0.6575004207622674,-0.011257035647266767,0.019
0.6598385344105231,-0.2213883677298094,0.023
0.6622999525933913,-0.2889305816134895,0.012
0.6670447796780277,-0.14634146341462695,0.017
0.6789999217126477,0.026266416510324575,0.02
0.6814030253922971,0.05628517823641355,0.015
0.6873926229278005,0.5440900562852056,0.015
0.7256670164645223,-0.7767354596622551,0.013
1.044185200566182,-1.0619136960600335,0.012
1.0514061910774997,-1.234521575984985,0.011
1.0573589237021768,-1.0919324577860956,0.013
1.0585489245606312,-0.8142589118198995,0.016
1.0657557186168276,-0.9868667917448244,0.026
1.0706087591473041,-1.0769230769230647,0.014
1.0718147169077685,-1.0243902439024155,0.013
1.072967274045432,-1.504690431519679,0.013
1.0742154152837786,-1.2195121951219272,0.013
1.0766208318015704,-1.129455909943687,0.013
1.0802461179333696,-1.4521575984990567,0.012
